,Name,Link,Year,Publisher,Platform
25175,captain gysi und das raumschiff bonn,https://www.uvlist.net/game-247923-Captain+Gysi+und+das+Raumschiff+Bonn,1997,Burns Software,Windows
25176,captain gysi: galaxis futura,https://www.uvlist.net/game-247982-Captain+Gysi+Galaxis+Futura,1998,Prism Leisure ,Windows
25177,captain holetooth,https://www.uvlist.net/game-226413-Captain+Holetooth,2016,author,Linux
25178,captain hook and the lost girl,https://www.uvlist.net/game-268592-Captain+Hook+and+the+Lost+Girl,2022,author,Windows
25179,captain jatobe,https://www.uvlist.net/game-195645-Captain+Jatobe,2013,VAMflax,Linux
25180,captain kelly,https://www.uvlist.net/game-12357-Captain+Kelly,1986,Quicksilva ,ZX Spectrum
25181,captain kelly,https://www.uvlist.net/game-261182-Captain+Kelly,1986,Quicksilva,C64
25182,captain kick knack ,https://www.uvlist.net/game-178862-Captain+Kick+Knack,1999,Sachen,GB
25183,captain kidd ,https://www.uvlist.net/game-35702-Captain+Kidd,1985,Bug-Byte ,C64
25184,captain kidd ,https://www.uvlist.net/game-46554-Captain+Kidd,1985,Bug-Byte ,Amstrad CPC
25185,captain kook,https://www.uvlist.net/game-249120-Captain+Kook,1989,The Silent Corner,ZX Spectrum
25186,captain lycop : invasion of the heters,https://www.uvlist.net/game-229835-Captain+Lycop+Invasion+of+the+Heters,2017,Aéronie,Linux
25187,captain morgane and the golden turtle ,https://www.uvlist.net/game-197438-Captain+Morgane+and+the+Golden+Turtle,2012,Reef Entertainment ,Windows
25188,captain morgane and the golden turtle ,https://www.uvlist.net/game-197439-Captain+Morgane+and+the+Golden+Turtle,2012,Reef Entertainment ,Nintendo DS
25189,captain morgane and the golden turtle ,https://www.uvlist.net/game-197440-Captain+Morgane+and+the+Golden+Turtle,2012,Reef Entertainment ,PS3
25190,captain morgane and the golden turtle ,https://www.uvlist.net/game-197441-Captain+Morgane+and+the+Golden+Turtle,2012,Reef Entertainment ,Wii
25191,captain novolin,https://www.uvlist.net/game-6875-Captain+Novolin,1992,Health Hero Network ,SNES
25192,captain planet,https://www.uvlist.net/game-9233-Captain+Planet,?,Sega,Master System
25193,captain planet,https://www.uvlist.net/game-12358-Captain+Planet,1991,Mindscape,ZX Spectrum
