,Name,Link,Year,Publisher,Platform
0,let's ride! friends forever,https://www.uvlist.net/game-168385-Lets+Ride+Friends+Forever,2008,THQ,Nintendo DS
1,let's ride! silver buckle stables,https://www.uvlist.net/game-168387-Lets+Ride+Silver+Buckle+Stables,2005,ValuSoft,Windows
2,let's ride! silver buckle stables,https://www.uvlist.net/game-168388-Lets+Ride+Silver+Buckle+Stables,2006,ValuSoft ,PS2
3,let's ride! sunshine stables,https://www.uvlist.net/game-156759-Lets+Ride+Sunshine+Stables,2005,THQ ,GBA
4,let's tap,https://www.uvlist.net/game-171894-Lets+Tap,2009,Sega ,Wii
5,let's tap: bubble voyager,https://www.uvlist.net/game-175433-Lets+Tap+Bubble+Voyager,2009,? ,iOS
6,let's tap: gem game,https://www.uvlist.net/game-175434-Lets+Tap+Gem+Game,2009,? ,iOS
7,let's tap: rhythm tap,https://www.uvlist.net/game-175435-Lets+Tap+Rhythm+Tap,2009,? ,iOS
8,let's tap: silent blocks,https://www.uvlist.net/game-175436-Lets+Tap+Silent+Blocks,2009,? ,iOS
9,let's tap: tap runner,https://www.uvlist.net/game-175437-Lets+Tap+Tap+Runner,2009,? ,iOS
10,let’s yoga,https://www.uvlist.net/game-166212-Lets+Yoga,2008,Konami,Nintendo DS
11,letarot ,https://www.uvlist.net/game-181906-LeTarot,?,Kagi,Linux
12,letayushchie tsifry ,https://www.uvlist.net/game-245012-Letayushchie+Tsifry,1989,Infoset,MS-DOS
13,lethal,https://www.uvlist.net/game-34465-Lethal,1988,Quantum Logic Systems ,C64
14,lethal bombs,https://www.uvlist.net/game-34008-Lethal+Bombs,1995,CP Verlag,C64
15,lethal crash race,https://www.uvlist.net/game-99484-Lethal+Crash+Race,1993,Video System,Arcade
16,lethal enforcers,https://www.uvlist.net/game-956-Lethal+Enforcers,1992,Konami,Arcade
17,lethal enforcers,https://www.uvlist.net/game-6427-Lethal+Enforcers,1993,Konami,SNES
18,lethal enforcers,https://www.uvlist.net/game-9946-Lethal+Enforcers,1993,Konami,Mega Drive
19,lethal enforcers,https://www.uvlist.net/game-33400-Lethal+Enforcers,1993,Konami,Mega-CD
20,lethal enforcers i & ii ,https://www.uvlist.net/game-11238-Lethal+Enforcers+I+II,1997,Konami,PS
21,lethal enforcers ii: gun fighters,https://www.uvlist.net/game-9947-Lethal+Enforcers+II+Gun+Fighters,1994,Konami,Mega Drive
22,lethal enforcers ii: gun fighters ,https://www.uvlist.net/game-33401-Lethal+Enforcers+II+Gun+Fighters,1994,Konami,Mega-CD
23,lethal enforcers ii: gun fighters ,https://www.uvlist.net/game-97457-Lethal+Enforcers+II+Gun+Fighters,1993,Konami;Konami,Arcade
24,lethal formula,https://www.uvlist.net/game-225768-Lethal+Formula,1995,F1 Licenceware ,Amiga
25,lethal labyrinth,https://www.uvlist.net/game-253880-Lethal+Labyrinth,1987,UpTime,Apple II E
26,lethal league,https://www.uvlist.net/game-208656-Lethal+League,2014,Team Reptile,Windows
27,lethal league,https://www.uvlist.net/game-214109-Lethal+League,TBA ,Team Reptile,Linux
28,lethal racing - free! ,https://www.uvlist.net/game-177795-Lethal+Racing+FREE,?,DKIT Android,Android
29,lethal skies ,https://www.uvlist.net/game-111108-Lethal+Skies,2002,Sammy ,PS2
30,lethal skies ii,https://www.uvlist.net/game-196390-Lethal+Skies+II,2003,Sammy Entertainment ,PS2
31,lethal tender,https://www.uvlist.net/game-248386-Lethal+Tender,1993,Froggman ,MS-DOS
32,lethal weapon,https://www.uvlist.net/game-8817-Lethal+Weapon,1992,Ocean ,GB
33,lethal weapon,https://www.uvlist.net/game-40731-Lethal+Weapon,?,Ocean,Atari ST
34,lethal weapon,https://www.uvlist.net/game-42901-Lethal+Weapon,1993,Ocean,MS-DOS
35,lethal weapon,https://www.uvlist.net/game-111509-Lethal+Weapon,1992,Ocean,Amiga
36,lethal weapon,https://www.uvlist.net/game-265319-Lethal+Weapon,1992,Ocean,C64
37,lethal weapon ,https://www.uvlist.net/game-6972-Lethal+Weapon,1992,Ocean,SNES
38,lethal weapon ,https://www.uvlist.net/game-7953-Lethal+Weapon,1992,Ocean ,NES
39,lethal weapon iii,https://www.uvlist.net/game-17146-Lethal+Weapon+III,19??,?,Amiga
