,Name,Link,Year,Publisher,Platform
50,shikigami no shiro iii ,https://www.uvlist.net/game-157445-Shikigami+no+Shiro+III,2006,Taito ,Arcade
51,shikigami no shiro iii ,https://www.uvlist.net/game-196327-Shikigami+no+Shiro+III,2006,CyberFront ,Windows
52,shikigami no shiro iii ,https://www.uvlist.net/game-196328-Shikigami+no+Shiro+III,2007,Arc System Works ,X360
53,shikigami no shiro: nanayozuki gensoukyoku ,https://www.uvlist.net/game-196280-Shikigami+no+Shiro+Nanayozuki+Gensoukyoku,2005,Kids Station ,PS2
54,shikinjo ,https://www.uvlist.net/game-158113-Shikinjo,1991,Toei Animation ,NES
55,shikinjou ,https://www.uvlist.net/game-245069-Shikinjou,1990,Scaptrust,NEC PC9801
56,shikinjou ,https://www.uvlist.net/game-268642-Shikinjou,1990,Scaptrust,MSX2
57,shikinjou ,https://www.uvlist.net/game-268643-Shikinjou,1989,Scaptrust,NEC PC8801
58,shikinjou ,https://www.uvlist.net/game-268644-Shikinjou,1990,Scaptrust,X68000
59,shikinjou ,https://www.uvlist.net/game-43865-Shikinjou,1991,Sunsoft,Game Gear
60,shikkaku ishi,https://www.uvlist.net/game-152811-Shikkaku+Ishi,2001,MBS Truth,Windows
61,shilla ii,https://www.uvlist.net/game-41317-Shilla+II,?,?,Internet Only
62,shiloh: grant's trial in the west,https://www.uvlist.net/game-108155-Shiloh+Grants+Trial+in+the+West,1987,SSI,Atari 400/800
63,shiloh: grant's trial in the west,https://www.uvlist.net/game-180911-Shiloh+Grants+Trial+in+the+West,1987,SSI,Apple II E
64,shiloh: grant's trial in the west,https://www.uvlist.net/game-207171-Shiloh+Grants+Trial+in+the+West,1987,SSI,MS-DOS
65,shiloh: grant's trial in the west,https://www.uvlist.net/game-268721-Shiloh+Grants+Trial+in+the+West,1987,SSI,C64
66,shimai 2,https://www.uvlist.net/game-152327-Shimai+2,2004,13cm,Windows
67,shimai kyoushi ~chijoku no jikanwari~ ,https://www.uvlist.net/game-275316-Shimai+Kyoushi+Chijoku+no+Jikanwari,2001,Black Package Try,Windows
68,shimai miko ~chijoku no kinbaku manjizeme~ ,https://www.uvlist.net/game-245549-Shimai+Miko+Chijoku+no+Kinbaku+Manjizeme,2009,Hina Soft ,Windows
69,shimano xtreme fishing ,https://www.uvlist.net/game-273405-Shimano+Xtreme+Fishing,2009,Mastiff,Wii
70,shimeshougi,https://www.uvlist.net/game-161763-Shimeshougi,?,Nichibutsu,My Vision
71,shimono masaki no fishing to bassing,https://www.uvlist.net/game-6539-Shimono+Masaki+no+Fishing+to+Bassing,1994,Natsume,SNES
72,shimura ken no baka tonosama: bakushou tenka touitsu game,https://www.uvlist.net/game-104697-Shimura+Ken+no+Baka+Tonosama+Bakushou+Tenka+Touitsu+Game,2002,TDK ,GBA
73,shin 4-nin uchi mahjong: yakuman tengoku ,https://www.uvlist.net/game-218849-Shin+4+nin+Uchi+Mahjong+Yakuman+Tengoku,1991,Nintendo ,NES
74,shin aniyome ,https://www.uvlist.net/game-275355-Shin+Aniyome,2003,Selen,Windows
75,shin atelier rorona: hajimari no monogatari the alchemist of arland,https://www.uvlist.net/game-229459-Shin+Atelier+Rorona+Hajimari+no+Monogatari+The+Alchemist+of+Arland,2015,Tecmo Koei ,3DS
76,shin dx okuman chouja game,https://www.uvlist.net/game-109848-Shin+DX+Okuman+Chouja+Game,2003,Takara,PS
77,shin fortune quest: sokutaku no kishi,https://www.uvlist.net/game-109849-Shin+Fortune+Quest+Sokutaku+no+Kishi,1996,MediaWorks,PS
78,shin gōketsuji ichizoku: bonnō kaihō ,https://www.uvlist.net/game-212866-Shin+Goketsuji+Ichizoku+Bonno+Kaiho,2006,Excite ,PS2
79,shin honkaku hanafuda,https://www.uvlist.net/game-152668-Shin+Honkaku+Hanafuda,1999,Altron,Dreamcast
80,shin kaitei gunkan: koutetsu no kodoku ,https://www.uvlist.net/game-162509-Shin+Kaitei+Gunkan+Koutetsu+no+Kodoku,1997,ASCII ,Saturn
81,shin keraku no ou ,https://www.uvlist.net/game-245550-Shin+Keraku+no+Ou,2004,Melrot,Windows
82,shin kidou senki gundam w: endless duel ,https://www.uvlist.net/game-6106-Shin+Kidou+Senki+Gundam+W+Endless+Duel,1996,Bandai,SNES
83,shin kisekae monogatari,https://www.uvlist.net/game-184696-Shin+Kisekae+Monogatari,2003,Marvelous Interactive ,GBA
84,shin li chen,https://www.uvlist.net/game-177901-Shin+Li+Chen,1999,I.G.S.,Arcade
85,shin majan,https://www.uvlist.net/game-7393-Shin+Majan,1994,Konami,SNES
86,shin masō kishin: panzer warfare,https://www.uvlist.net/game-109850-Shin+Maso+Kishin+Panzer+Warfare,1999,Banpresto,PS
87,shin megami tensei,https://www.uvlist.net/game-105707-Shin+Megami+Tensei,2001,Atlus,PS
88,shin megami tensei,https://www.uvlist.net/game-166131-Shin+Megami+Tensei,1993,Atlus ,PC Engine CD
89,shin megami tensei ,https://www.uvlist.net/game-6405-Shin+Megami+Tensei,1992,Atlus,SNES
90,shin megami tensei ,https://www.uvlist.net/game-98573-Shin+Megami+Tensei,1994,Sims,Mega-CD
91,shin megami tensei ,https://www.uvlist.net/game-104823-Shin+Megami+Tensei,2003,Atlus,GBA
92,shin megami tensei devil children: aka no shou ,https://www.uvlist.net/game-158115-Shin+Megami+Tensei+Devil+Children+Aka+no+Shou,2000,Atlus,GBC
93,shin megami tensei devil children: kuro no shou ,https://www.uvlist.net/game-158114-Shin+Megami+Tensei+Devil+Children+Kuro+no+Shou,2000,Atlus,GBC
94,shin megami tensei devil children: shiro no shou ,https://www.uvlist.net/game-161852-Shin+Megami+Tensei+Devil+Children+Shiro+no+Shou,2001,Atlus,GBC
95,shin megami tensei if...,https://www.uvlist.net/game-6419-Shin+Megami+Tensei+if...,1994,Atlus,SNES
96,shin megami tensei if... ,https://www.uvlist.net/game-109851-Shin+Megami+Tensei+if...,2002,Atlus ,PS
97,shin megami tensei ii,https://www.uvlist.net/game-105706-Shin+Megami+Tensei+II,2002,Atlus ,PS
98,shin megami tensei ii ,https://www.uvlist.net/game-6421-Shin+Megami+Tensei+II,1994,Atlus,SNES
99,shin megami tensei ii ,https://www.uvlist.net/game-156645-Shin+Megami+Tensei+II,2003,Atlus,GBA
100,shin megami tensei iii: nocturne ,https://www.uvlist.net/game-103474-Shin+Megami+Tensei+III+Nocturne,2003,Atlus;Ghostlight ,PS2
101,shin megami tensei iii: nocturne hd remaster,https://www.uvlist.net/game-262828-Shin+Megami+Tensei+III+Nocturne+HD+Remaster,2021,Sega,Switch
102,shin megami tensei iii: nocturne maniax ,https://www.uvlist.net/game-180958-Shin+Megami+Tensei+III+Nocturne+Maniax,2004,Atlus,PS2
103,shin megami tensei iv ,https://www.uvlist.net/game-188949-Shin+Megami+Tensei+IV,2013,Atlus,3DS
104,shin megami tensei iv apocalypse ,https://www.uvlist.net/game-239719-Shin+Megami+Tensei+IV+Apocalypse,2016,Atlus,3DS
105,shin megami tensei nine ,https://www.uvlist.net/game-102155-Shin+Megami+Tensei+Nine,2002,Atlus ,Xbox
106,shin megami tensei trading card: card summoner,https://www.uvlist.net/game-163576-Shin+Megami+Tensei+Trading+Card+Card+Summoner,2001,Atlus;Enterbrain,GBC
107,shin megami tensei v ,https://www.uvlist.net/game-268803-Shin+Megami+Tensei+V,2021,Atlus,Switch
108,shin megami tensei: devil children,https://www.uvlist.net/game-105846-Shin+Megami+Tensei+Devil+Children,2002,Atlus,PS
109,shin megami tensei: devil children - flame book ,https://www.uvlist.net/game-184698-Shin+Megami+Tensei+Devil+Children+Flame+Book,2003,Atlus,GBA
110,shin megami tensei: devil children - ice book ,https://www.uvlist.net/game-184699-Shin+Megami+Tensei+Devil+Children+Ice+Book,2003,Atlus,GBA
111,shin megami tensei: devil children - messiah riser ,https://www.uvlist.net/game-184697-Shin+Megami+Tensei+Devil+Children+Messiah+Riser,2004,Atlus ,GBA
112,shin megami tensei: devil children - puzzle de call! ,https://www.uvlist.net/game-184700-Shin+Megami+Tensei+Devil+Children+Puzzle+de+Call,2003,Atlus ,GBA
113,shin megami tensei: devil summoner - raidou kuzunoha vs. the soulless army ,https://www.uvlist.net/game-169477-Shin+Megami+Tensei+Devil+Summoner+Raidou+Kuzunoha+vs.+the+Soulless+Army,2006,Atlus;Koei ,PS2
114,shin megami tensei: devil summoner ,https://www.uvlist.net/game-161848-Shin+Megami+Tensei+Devil+Summoner,1995,Atlus,Saturn
115,shin megami tensei: devil summoner ~akuma zensho~ ,https://www.uvlist.net/game-161849-Shin+Megami+Tensei+Devil+Summoner+Akuma+Zensho,1996,Atlus,Saturn
116,shin megami tensei: devil summoner 2: raidou kuzunoha vs. king abadon ,https://www.uvlist.net/game-171178-Shin+Megami+Tensei+Devil+Summoner+2+Raidou+Kuzunoha+vs.+King+Abadon,2008,Atlus,PS2
117,shin megami tensei: devil survivor ,https://www.uvlist.net/game-171904-Shin+Megami+Tensei+Devil+Survivor,2009,Atlus USA,Nintendo DS
118,shin megami tensei: devil survivor 2 ,https://www.uvlist.net/game-183717-Shin+Megami+Tensei+Devil+Survivor+2,2011,Atlus,Nintendo DS
119,shin megami tensei: devil survivor 2 record breaker ,https://www.uvlist.net/game-215196-Shin+Megami+Tensei+Devil+Survivor+2+Record+Breaker,2015,Atlus,3DS
120,shin megami tensei: devil survivor overclocked ,https://www.uvlist.net/game-178656-Shin+Megami+Tensei+Devil+Survivor+Overclocked,2011,Atlus,3DS
121,shin megami tensei: digital devil saga ,https://www.uvlist.net/game-159638-Shin+Megami+Tensei+Digital+Devil+Saga,2004,Atlus;Ghostlight ,PS2
122,shin megami tensei: digital devil saga 2 ,https://www.uvlist.net/game-161444-Shin+Megami+Tensei+Digital+Devil+Saga+2,2005,Atlus;Ghostlight ,PS2
123,shin megami tensei: imagine ,https://www.uvlist.net/game-169935-Shin+Megami+Tensei+Imagine,2007,Aeria Games;Atlus ,Windows
124,shin megami tensei: persona,https://www.uvlist.net/game-172513-Shin+Megami+Tensei+Persona,2009,Atlus USA,PSP
125,shin megami tensei: persona 3 portable ,https://www.uvlist.net/game-178858-Shin+Megami+Tensei+Persona+3+Portable,2009,Atlus,PSP
126,shin megami tensei: strange journey ,https://www.uvlist.net/game-178691-Shin+Megami+Tensei+Strange+Journey,2009,Atlus,Nintendo DS
127,shin megami tensei: strange journey redux ,https://www.uvlist.net/game-246301-Shin+Megami+Tensei+Strange+Journey+REDUX,2017,Atlus;Deep Silver ,3DS
128,shin megami tensei: synchronicity prologue ,https://www.uvlist.net/game-239693-Shin+Megami+Tensei+Synchronicity+Prologue,2017,Atlus ,Windows
129,shin mikagura shoujo tanteidan ,https://www.uvlist.net/game-273367-Shin+Mikagura+Shoujo+Tanteidan,2003,Elf ,Windows
130,shin minna no nurie pompompurin,https://www.uvlist.net/game-245551-Shin+Minna+no+Nurie+Pompompurin,2017,Kadokawa Shoten,3DS
131,shin moero!! pro yakyuu ,https://www.uvlist.net/game-219008-Shin+Moero+Pro+Yakyuu,1989,Jaleco ,NES
132,shin momotarō densetsu ,https://www.uvlist.net/game-6266-Shin+Momotaro+Densetsu,1993,Amccus;Hudson ,SNES
133,shin nekketsu kouha: kunio-tachi no banka,https://www.uvlist.net/game-102747-Shin+Nekketsu+Kouha+Kunio+tachi+no+Banka,1994,Technos,SNES
134,shin nihon pro wrestling '94: battlefield in tokyo dome ,https://www.uvlist.net/game-153524-Shin+Nihon+Pro+Wrestling+94+Battlefield+in+Tokyo+Dome,1994,Fujicom,PC Engine CD
135,shin nihon pro wrestling toukon retsuden advance,https://www.uvlist.net/game-105468-Shin+Nihon+Pro+Wrestling+Toukon+Retsuden+Advance,2002,Tomy,GBA
