,Name,Link,Year,Publisher,Platform
0,desperados: wanted dead or alive,https://www.uvlist.net/game-47581-Desperados+Wanted+Dead+or+Alive,2001,Infogrames ,Windows
1,desperate dan's dungeon,https://www.uvlist.net/game-263769-Desperate+Dans+Dungeon,1984,Thor Computer Software,BBC
2,desperate decorator,https://www.uvlist.net/game-263767-Desperate+Decorator,1985,Input Magazine ,BBC
3,desperate gods,https://www.uvlist.net/game-192962-Desperate+Gods,2012,Wolfire Games,Windows
4,desperate gods,https://www.uvlist.net/game-192963-Desperate+Gods,2012,Wolfire Games,Mac OS X
5,desperate gods,https://www.uvlist.net/game-193839-Desperate+Gods,2012,author,Linux
6,desperate housewives: the game,https://www.uvlist.net/game-164112-Desperate+Housewives+The+Game,2006,Buena Vista ,Windows
7,desperate vessel,https://www.uvlist.net/game-219155-Desperate+Vessel,2015,mr. a,Linux
8,despertar,https://www.uvlist.net/game-217253-Despertar,2014,marceloapoviankayata,Linux
9,despicable me,https://www.uvlist.net/game-181522-Despicable+Me,2010,D3 Publisher,PSP
10,despicable me,https://www.uvlist.net/game-181523-Despicable+Me,2010,D3 Publisher,PS2
11,despicable me: minion mayhem ,https://www.uvlist.net/game-181524-Despicable+Me+Minion+Mayhem,2010,D3 Publisher ,Nintendo DS
12,despicable me: minion rush ,https://www.uvlist.net/game-231259-Despicable+Me+Minion+Rush,2016,Gameloft,TizenOS
13,despicable me: the game ,https://www.uvlist.net/game-181521-Despicable+Me+The+Game,2010,D3 Publisher;Monkey Bar Games,Wii
14,despiria ,https://www.uvlist.net/game-111698-deSpiria,2000,Atlus ,Dreamcast
15,despot's game,https://www.uvlist.net/game-260220-Despots+Game,2021,tinyBuild ,Linux
16,despotik design,https://www.uvlist.net/game-46982-Despotik+Design,1987,Ere Informatique,Amstrad CPC
17,despotism 3k,https://www.uvlist.net/game-246932-Despotism+3k,2018,Konfa Games,Linux
18,despotism 3k,https://www.uvlist.net/game-266828-Despotism+3k,2018,Konfa Games,Windows
19,dessert,https://www.uvlist.net/game-232139-Dessert,1989,Queen,NEC PC8801
20,dessert ,https://www.uvlist.net/game-198979-Dessert,1989,Queen Soft,NEC PC9801
